fonte,palavra_chave,produto,preco,preco_original,tag_promocao,seller,marca,product_id,posicao,rating,reviews,delivery,condicao_anuncio,link,capturado_em,preco_outlier,indice_preco,desconto_percentual,score_preco,score_promo,score_atratividade,score_visibilidade,score_qualidade,score_relevancia
google_shopping,mop giratorio,simplo Mop Giratório Água Nova com Balde e Esfregão,129.17,,,Amazon.com.br - Retail,Simplo,15203667711241567493,11,4.6,230.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:745805671152758674,mid:576462858155772695,oid:7901287260239547948,iid:1396314345949504426,rds:UENfNzQ1ODA1NjcxMTUyNzU4Njc0fFBST0RfUENfNzQ1ODA1NjcxMTUyNzU4Njc0,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,1.23832806058863,0.0,0.52334387882274,0.0,0.366340715175918,0.75,0.9199999999999999,0.6859022145527754
google_shopping,mop giratorio,flash limp Mop Giratório Ciclone,377.5,,,Uno Comércio de Materiais de Construção,Flash Limp,4177977441666168457,12,4.9,12.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:1395994762813339687,mid:576462864196240637,oid:13361094675100030801,iid:4711197018754576306,rds:UENfMTM5NTk5NDc2MjgxMzMzOTY4N3xQUk9EX1BDXzEzOTU5OTQ3NjI4MTMzMzk2ODc=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,True,3.6190202281660433,0.0,0.0,0.0,0.0,0.725,0.5446554128195835,0.45339662384587504
google_shopping,mop giratorio,flash limp Mop Giratório 3 em 1,104.31,,,DC Shop,Flash Limp,4645669500599241026,13,4.8,85.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:1909314908454621927,mid:576462803574524038,oid:9516161381827035257,iid:2817992217727486902,rds:UENfMTkwOTMxNDkwODQ1NDYyMTkyN3xQUk9EX1BDXzE5MDkzMTQ5MDg0NTQ2MjE5Mjc=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,1.0,0.0,1.0,0.0,0.7,0.7,0.92655725647878,0.7679671769436339
google_shopping,mop giratorio,flash limp Mop Giratório Duas Águas Fit MOP7504,110.0,127.0,,Comércio de Balanças São Roque,Flash Limp,10716150593862938759,14,4.7,3.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:842940391957759870,mid:576462502621710264,oid:8341850703179784290,iid:6535207386056029948,rds:UENfODQyOTQwMzkxOTU3NzU5ODcwfFBST0RfUENfODQyOTQwMzkxOTU3NzU5ODcw,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,1.0545489406576551,0.13385826771653545,0.8909021186846897,0.44619422572178485,0.7574897507958182,0.675,0.28235810846053333,0.5819543577769054
google_shopping,mop giratorio,Balde Mop Com Esfregão Giratório Fratelli,80.0,,,Amazon,Fratelli,10892114767959547211,15,4.5,716.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:15821083644890770490,mid:576462741480555482,oid:6261102904646956515,iid:775398514552783999,rds:UENfMTU4MjEwODM2NDQ4OTA3NzA0OTB8UFJPRF9QQ18xNTgyMTA4MzY0NDg5MDc3MDQ5MA==,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.7669446841146582,0.0,1.0,0.0,0.7,0.65,0.9,0.74
google_shopping,mop giratorio,flash limp Mop Fit Giratório Mop5010,60.14,62.0,,Loren Casa e Presentes,Flash Limp,3424494980144211431,16,4.8,3.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:739836809169014719,mid:576462900599864711,oid:2954862919872414781,iid:5368958662157095771,rds:UENfNzM5ODM2ODA5MTY5MDE0NzE5fFBST0RfUENfNzM5ODM2ODA5MTY5MDE0NzE5,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.5765506662831943,0.029999999999999992,1.0,0.09999999999999998,0.73,0.625,0.28836572778948083,0.5555097183368443
google_shopping,mop giratorio,Mop Giratório 9 em 1 Multiuso Recarregável Sem Fio Profissional - ESFR,234.1,,,Magazine Luiza,,,17,4.7,3.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=pid:15410442291164492159,oid:15410442291164492159,iid:4563071480939935940,rds:UENfNDE0MzIzNDk3MzM5MjUxNjg1NnxQUk9EX1BDXzQxNDMyMzQ5NzMzOTI1MTY4NTY=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,2.2442718818905187,0.0,0.0,0.0,0.0,0.6,0.28235810846053333,0.32470743253816
google_shopping,mop giratorio,Mop Giratório Fit Flashlimp,80.26,,,Amazon.com.br - Retail,Flashlimp,9373887971582744851,18,4.8,1.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:1990345184696187903,mid:576462441203016459,oid:2517661275689608497,iid:6110235801429793832,rds:UENfMTk5MDM0NTE4NDY5NjE4NzkwM3xQUk9EX1BDXzE5OTAzNDUxODQ2OTYxODc5MDM=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.7694372543380309,0.0,1.0,0.0,0.7,0.575,0.14418286389474042,0.48325485916842215
google_shopping,mop giratorio,Mop Pro Move 360o Giratório Balde 16L Esfregão Inox -perfect,230.18,,,Schmitt Brasil,,2510081885651150043,19,4.9,4.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:11901559504988694561,mid:576462869050237226,oid:15916966923282054294,iid:13709293097050497553,rds:UENfMTE5MDE1NTk1MDQ5ODg2OTQ1NjF8UFJPRF9QQ18xMTkwMTU1OTUwNDk4ODY5NDU2MQ==,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,2.2066915923689003,0.0,0.0,0.0,0.0,0.55,0.34175687253015435,0.32252706175904633
google_shopping,mop giratorio,hauskraft Mop Giratório com Esfregão Lava e Seca,48.36,,,Tudo de Ferramentas,Hauskraft,11351010726629243044,20,,,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:9690170785482895611,mid:576462477603520911,oid:15536081298496947404,iid:5203869960489782011,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.4636180615473109,0.0,1.0,0.0,0.7,0.525,,0.42000000000000004
